id,joinNum
1002451,1
1002442,1
1002432,1
1002424,1
1002413,1
1002402,1
1002401,1
1002376,1
1002357,1
1002340,1
1002332,1
1002310,1
1002296,1
1002295,1
1002292,1
1002290,1
1002283,1
1002270,1
1002255,1
1002251,1
1002225,1
1002224,1
1002221,1
1002209,1
1002191,1
1002182,1
1002174,1
1002172,1
1002149,1
1002146,1
1002145,1
1002138,1
1002136,1
1002133,1
1002126,1
1002092,1
1002086,1
1002081,1
1002080,1
1002078,1
1002064,1
1002025,1
1002021,1
1002018,1
1002016,1
1002009,1
1002008,1
1002001,1
1001991,1
1001980,1
1001971,1
1001969,1
1001963,1
1001945,1
1001929,1
1001910,1
1001896,1
1001877,1
1001854,1
1001845,1
1001842,1
1001840,1
1001802,1
1001774,1
1001716,1
1001661,1
1001653,1
1001619,1
1001567,1
1001566,1
1001556,1
1001539,1
1001520,1
1001505,1
1001491,1
1001441,1
1001431,1
1001415,1
1001412,1
1001401,1
1001340,1
1001335,1
1001312,1
1001303,1
1001295,1
1001286,1
1001245,1
1001239,1
1001229,1
1001212,1
1001168,1
1001121,1
1001102,1
1001081,1
1000992,1
1000964,1
1000957,1
1000945,1
1000913,1
1000876,1
1000861,1
1000842,1
1000837,1
1000816,1
1000794,1
1000787,1
1000774,1
1000755,1
1000753,1
1000731,1
1000727,1
1000724,1
1000698,1
1000682,1
1000674,1
1000668,1
1000665,1
1000662,1
1000660,1
1000650,1
1000615,1
1000580,1
1000576,1
1000521,1
1000515,1
1000447,1
1000446,1
1000443,1
1000429,1
1000426,1
1000417,1
1000409,1
1000386,1
1000383,1
1000360,1
1000355,1
1000343,1
1000322,1
1000303,1
1000295,1
1000292,1
1000289,1
1000280,1
1000278,1
1000273,1
1000267,1
1000253,1
1000225,1
1000223,1
1000221,1
1000211,1
1000209,1
1000089,1
1000056,1
