ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,Status
 998,1000049, 2,165, 72,0.696203,0.303797,merged
 999,1000049, 1,166, 72,0.697479,0.302521,merged
 999,1000049, 2,167, 72,0.698745,0.301255,merged
1006,1000049, 1,168, 72,0.700000,0.300000,merged
1006,1000049, 2,169, 72,0.701245,0.298755,merged
1011,1000049, 1,169, 73,0.698347,0.301653,merged
1011,1000049, 2,170, 73,0.699588,0.300412,merged
1013,1000049, 1,170, 74,0.696721,0.303279,merged
1013,1000049, 2,171, 74,0.697959,0.302041,merged
1018,1000049, 1,172, 74,0.699187,0.300813,abandoned
1018,1000028, 2,  2,  0,1.000000,0.000000,abandoned
1022,1000049, 1,172, 75,0.696356,0.303644,merged
1022,1000049, 2,173, 75,0.697581,0.302419,merged
1023,1000049, 1,173, 76,0.694779,0.305221,merged
1023,1000049, 2,174, 76,0.696000,0.304000,merged
1026,1000049, 1,174, 77,0.693227,0.306773,merged
1026,1000049, 2,174, 78,0.690476,0.309524,merged
1035,1000049, 1,174, 79,0.687747,0.312253,merged
1035,1000124, 2,  1,  0,1.000000,0.000000,merged
1036,1000049, 1,175, 79,0.688976,0.311024,merged
1036,1000049, 2,175, 80,0.686275,0.313725,merged
1037,1000049, 1,175, 81,0.683594,0.316406,merged
1037,1000049, 2,176, 81,0.684825,0.315175,merged
1041,1000049, 1,177, 81,0.686047,0.313953,merged
1041,1000010, 2,  1,  1,0.500000,0.500000,merged
1045,1000049, 1,177, 82,0.683398,0.316602,merged
1045,1000049, 2,178, 82,0.684615,0.315385,merged
1073,1000049, 1,178, 83,0.681992,0.318008,abandoned
1073,1000009, 2,  2,  0,1.000000,0.000000,abandoned
1078,1000049, 1,178, 84,0.679389,0.320611,merged
1078,1000049, 2,179, 84,0.680608,0.319392,merged
1084,1000049, 1,180, 84,0.681818,0.318182,merged
1084,1000013, 2,  1,  0,1.000000,0.000000,merged
1093,1000049, 1,180, 85,0.679245,0.320755,merged
1093,1000049, 2,181, 85,0.680451,0.319549,merged
1103,1000049, 1,181, 86,0.677903,0.322097,merged
1103,1000049, 2,182, 86,0.679104,0.320896,merged
1106,1000049, 1,183, 86,0.680297,0.319703,abandoned
1106,1000179, 2,  1,  0,1.000000,0.000000,abandoned
1122,1000049, 1,183, 87,0.677778,0.322222,abandoned
1122,1000063, 2,  3,  0,1.000000,0.000000,abandoned
1124,1000049, 1,184, 87,0.678967,0.321033,merged
1124,1000049, 2,184, 88,0.676471,0.323529,merged
1133,1000049, 1,185, 88,0.677656,0.322344,merged
1133,1000049, 2,186, 88,0.678832,0.321168,merged
1135,1000049, 1,187, 88,0.680000,0.320000,merged
1135,1000171, 2,  1,  0,1.000000,0.000000,merged
1136,1000049, 1,188, 88,0.681159,0.318841,merged
1136,1000066, 2,  1,  0,1.000000,0.000000,merged
1138,1000049, 1,189, 88,0.682310,0.317690,merged
1138,1000049, 2,190, 88,0.683453,0.316547,merged
1152,1000049, 1,190, 89,0.681004,0.318996,merged
1152,1000049, 2,191, 89,0.682143,0.317857,merged
1164,1000049, 1,192, 89,0.683274,0.316726,merged
1164,1000049, 2,193, 89,0.684397,0.315603,merged
1166,1000049, 1,193, 90,0.681979,0.318021,merged
1166,1000049, 2,194, 90,0.683099,0.316901,merged
1182,1000049, 1,194, 91,0.680702,0.319298,merged
1182,1000049, 2,195, 91,0.681818,0.318182,merged
1183,1000049, 1,195, 92,0.679443,0.320557,merged
1183,1000049, 2,196, 92,0.680556,0.319444,merged
1184,1000049, 1,196, 93,0.678201,0.321799,merged
1184,1000049, 2,197, 93,0.679310,0.320690,merged
1187,1000049, 1,197, 94,0.676976,0.323024,merged
1187,1000049, 2,198, 94,0.678082,0.321918,merged
1188,1000049, 1,198, 95,0.675768,0.324232,merged
1188,1000049, 2,199, 95,0.676871,0.323129,merged
1190,1000049, 1,199, 96,0.674576,0.325424,abandoned
1190,1000121, 2,  1,  0,1.000000,0.000000,abandoned
1191,1000049, 1,199, 97,0.672297,0.327703,merged
1191,1000049, 2,199, 98,0.670034,0.329966,merged
1192,1000049, 1,199, 99,0.667785,0.332215,abandoned
1192,1000179, 2,  2,  0,1.000000,0.000000,abandoned
1194,1000049, 1,200, 99,0.668896,0.331104,merged
1194,1000049, 2,201, 99,0.670000,0.330000,merged
1201,1000049, 1,202, 99,0.671096,0.328904,merged
1201,1000176, 2,  1,  0,1.000000,0.000000,merged
1202,1000049, 1,203, 99,0.672185,0.327815,merged
1202,1000049, 2,203,100,0.669967,0.330033,merged
1205,1000049, 1,203,101,0.667763,0.332237,merged
1205,1000049, 2,204,101,0.668852,0.331148,merged
1212,1000049, 1,204,102,0.666667,0.333333,merged
1212,1000049, 2,205,102,0.667752,0.332248,merged
1216,1000049, 1,205,103,0.665584,0.334416,merged
1216,1000049, 2,206,103,0.666667,0.333333,merged
1220,1000049, 1,207,103,0.667742,0.332258,merged
1220,1000035, 2,  1,  0,1.000000,0.000000,merged
1223,1000049, 1,207,104,0.665595,0.334405,merged
1223,1000049, 2,208,104,0.666667,0.333333,merged
1230,1000049, 1,208,105,0.664537,0.335463,merged
1230,1000049, 2,209,105,0.665605,0.334395,merged
1238,1000049, 1,210,105,0.666667,0.333333,merged
1238,1000055, 2,  1,  0,1.000000,0.000000,merged
1242,1000049, 1,210,106,0.664557,0.335443,merged
1242,1000049, 2,211,106,0.665615,0.334385,merged
1243,1000049, 1,211,107,0.663522,0.336478,merged
1243,1000049, 2,212,107,0.664577,0.335423,merged
1244,1000049, 1,212,108,0.662500,0.337500,merged
1244,1000049, 2,213,108,0.663551,0.336449,merged
1250,1000049, 1,213,109,0.661491,0.338509,merged
1250,1000049, 2,213,110,0.659443,0.340557,merged
1252,1000049, 1,213,111,0.657407,0.342593,merged
1252,1000049, 2,214,111,0.658462,0.341538,merged
1256,1000049, 1,215,111,0.659509,0.340491,merged
1256,1000184, 2,  1,  0,1.000000,0.000000,merged
1267,1000049, 1,216,111,0.660550,0.339450,merged
1267,1000049, 2,217,111,0.661585,0.338415,merged
1269,1000049, 1,218,111,0.662614,0.337386,merged
